timestamp,visitorid,event,itemid,transactionid
1433221332117,257597,view,355908,
1433224214164,992329,view,248676,
1433221999827,111016,view,318965,
1433221955914,483717,view,253185,
1433221337106,951259,view,367447,
1433224086234,972639,view,22556,
1433221923240,810725,view,443030,
1433223291897,794181,view,439202,
1433220899221,824915,view,428805,
1433221204592,339335,view,82389,
1433222162373,176446,view,10572,
1433221701252,929206,view,410676,
1433224229496,15795,view,44872,
1433223697356,598426,view,156489,
1433224078165,223343,view,402625,
1433222531378,57036,view,334662,
1433223239808,1377281,view,251467,
1433223236124,287857,addtocart,5206,
1433224244282,1370216,view,176721,
1433221078505,158090,addtocart,10572,
1433224070841,1398644,view,135256,
1433224252461,653756,view,132316,
1433221274809,1213673,view,343861,
1433221275206,864246,view,36642,
1433223203944,125625,view,17655,
1433224683817,608100,view,187722,
1433221373311,781127,view,21989,
1433222147345,1076270,view,262799,
1433224554732,453474,view,250696,
1433221377547,1153198,view,388242,
1433224266445,273888,view,205392,
1433221380636,849453,view,123990,
1433221018375,487887,view,345560,
1433223176926,629333,view,128394,
1433222143427,1130165,view,45337,
1433224644638,361387,view,43485,
1433223643340,112175,view,430845,
1433223471170,860082,view,22926,
1433223159620,784669,view,181743,
1433222438241,1061147,view,280893,
1433224056696,485456,view,216707,
1433221622167,1342963,view,306886,
1433223776925,969887,view,159780,
1433223148655,759369,view,386527,
1433223146605,1282360,view,106564,
1433221051265,233317,view,75994,
1433223785793,392042,view,280375,
1433221172079,591038,view,367500,
1433223138106,692195,view,112792,
1433223574540,432882,view,102061,
1433223790254,392042,view,16813,
1433223131380,808133,view,128499,
1433221169402,180680,view,456784,
1433224050320,1151716,view,427725,
1433222134037,597724,view,134264,
1433220944616,179437,view,335975,
1433221087074,794013,view,51354,
1433222365385,975530,view,55555,
1433223102457,741702,view,350819,
1433221411595,1219180,view,422768,
1433222561588,1143908,view,417464,
1433223360663,1078178,view,323147,
1433224303386,503970,view,448136,
1433223543021,1193904,addtocart,255275,
1433224041294,376913,view,140848,
1433223076406,1262470,view,102986,
1433221422147,1153198,view,357579,
1433222366959,238317,view,348196,
1433223067576,800456,view,31514,
1433222031235,1219627,view,292444,
1433221152282,526166,view,332761,
1433221092368,685949,view,395002,
1433223447924,860082,view,415437,
1433221149711,721839,view,391289,
1433224324329,635011,view,142075,
1433222571026,293285,view,288868,
1433223854839,21004,view,181142,
1433223855932,1179587,view,367797,
1433222424790,1059530,view,302509,
1433224145724,854656,view,87947,
1433223587786,77112,view,97879,
1433224666941,557587,view,131882,
1433223862777,83034,view,255833,
1433221237091,233317,view,75994,
1433223866018,993954,view,227935,
1433223866632,1045426,view,69533,
1433222046974,428642,view,359747,
1433223879629,15795,view,81075,
1433221139773,97140,view,257675,
1433224498209,970474,view,324543,
1433221138230,97140,view,328025,
1433224344626,138674,view,202719,
1433222980695,1045633,view,372688,
1433224471042,202383,view,261865,
1433224754197,1109336,view,431148,
1433221135245,320957,view,102131,
1433223900862,132736,view,67627,
1433224352539,282587,view,78037,
1433222949983,901571,view,458588,
1433222949347,442035,view,75006,
1433221468563,881338,view,24431,
1433222946463,789114,view,412312,
1433222103817,1096028,view,337686,
1433222942281,1269628,view,137305,
1433222930873,428642,view,167337,
1433220897977,1217827,view,203231,
1433221123646,1076270,view,269430,
1433224370656,1137444,view,308053,
1433221776140,1254314,view,202373,
1433221974779,870742,view,456005,
1433221740333,712443,view,346655,
1433224464446,513527,view,227437,
1433221941632,599528,addtocart,356475,
1433222595153,1341619,view,77884,
1433222897013,492414,view,279976,
1433220908194,824915,view,25427,
1433222894011,248805,view,347194,
1433223952336,1263264,view,46097,
1433224782317,239546,view,42002,
1433222409338,506289,view,131383,
1433222877292,432824,view,221347,
1433222876482,8287,view,459752,
1433223968687,338231,view,141264,
1433222088855,398762,view,21886,
1433224388360,625389,view,316135,
1433222860128,428642,view,190172,
1433221108142,911380,view,28540,
1433222605362,326029,view,455763,
1433221107378,357556,view,13091,
1433224396283,536254,view,267839,
1433222276276,599528,transaction,356475,4000.0
1433221512084,1124962,view,213464,
1433221512427,1402325,view,20889,
1433222824444,930371,view,160161,
1433222820149,1304277,view,341548,
1433222291999,428642,view,7438,
1433221689977,456697,view,398579,
1433221523348,1118731,view,350689,
1433220912321,390868,view,432330,
1433221229122,1004326,view,432925,
1433222793547,761633,view,432152,
1433221525635,952604,view,466861,
1433221526354,849453,view,423120,
1433222790079,75249,view,283146,
1433224416053,1028478,view,438681,
1433223636836,77112,view,146700,
1433221724640,448895,view,322930,
1433220872479,736627,view,98498,
1433222772343,301980,view,288280,
1433221718235,1316756,view,303619,
1433221835749,346219,view,37945,
1433222623158,402205,view,46130,
1433224733131,949379,view,310791,
1433224435371,170060,view,213570,
1433221686200,1249248,view,422425,
1433221998234,265788,view,10620,
1433220966569,424164,view,397256,
1433222181172,1229852,view,389644,
1433223376533,1241483,view,298868,
1433220965740,132864,view,386146,
1433222721345,1384997,view,134458,
1433223622608,177820,view,244504,
1433222719578,1107507,view,444338,
1433222341342,497111,view,367617,
1433222646781,529601,view,161166,
1433221558611,1386874,view,261320,
1433221690620,126887,view,413990,
1433222057888,125625,view,25071,
1433221585010,1153198,view,388242,
1433222500605,122629,view,256368,
1433222492114,231733,view,324624,
1433221846073,870742,view,234255,
1433222012357,266709,view,190545,
1433222482735,208393,view,268266,
1433221650063,589997,view,110122,
1433223651491,800456,view,394254,
1433221038433,1100013,view,40596,
1433223502068,77112,view,38483,
1433224523363,1044534,view,272187,
1433220880956,105775,addtocart,312728,
1433192344441,676969,view,276704,
1433194613963,547051,view,184199,
1433193581950,198036,view,337335,
1433193799250,986452,view,429607,
1433192259223,1044315,view,325262,
1433193024992,249113,view,425726,
1433193362097,672710,view,161346,
1433193080618,824778,view,285173,
1433194060639,79247,view,458894,
1433192997501,1143402,view,272446,
1433191691541,178282,view,449010,
1433192144515,733007,view,188148,
1433193614579,948586,view,402236,
1433192321718,752818,view,43391,
1433193990704,85734,view,331725,
1433194504129,1323080,view,71957,
1433193535886,820159,view,369447,
1433193595554,927479,view,201940,
1433193798367,463621,view,372845,
1433192866366,290549,view,72611,
1433194408687,937632,view,260581,
1433192651984,511064,view,354042,
1433194473728,998406,view,33638,
1433192750383,1057088,view,334432,
1433193383427,550788,view,440180,
1433193860477,804607,view,459761,
1433192938939,1242160,view,385376,
1433194739377,256542,view,336552,
1433193490116,668712,view,291770,
1433194237764,227335,view,443967,
1433192401521,457237,view,234185,
1433194177067,1185234,view,154912,
1433193887272,1046168,view,86238,
1433194498623,85734,view,122834,
1433192067753,121688,view,282803,
1433194607083,939182,view,48743,
1433192584970,951557,view,138439,
1433193877348,73449,view,54008,
1433194239109,1075043,view,178496,
1433191842944,832459,view,458265,
1433194920972,192487,view,170751,
1433194439583,435847,view,2263,
1433194511438,1202062,view,59776,
1433193848420,812748,view,14671,
1433194516775,131086,view,402110,
1433194372591,609410,view,207825,
1433193003719,855825,view,460643,
1433191793118,15613,view,237422,
1433194045795,110877,view,336855,
1433193796802,1294366,view,204785,
1433191554639,421206,view,392392,
1433193477485,948586,view,164109,
1433193526308,765834,view,179601,
1433194772167,330834,view,134118,
1433193872161,1294366,view,106279,
1433193979951,1328894,view,43101,
1433191548267,742458,view,250212,
1433194844501,192487,view,153935,
1433194772089,1370178,view,253175,
1433192202594,425516,view,466472,
1433193860039,1173577,view,106874,
1433193131854,1102723,view,280375,
1433193323906,1055632,view,316753,
1433193207640,628886,view,105274,
1433193312720,861030,view,59866,
1433193196949,11598,view,62549,
1433192145627,303145,view,32971,
1433192570930,944943,view,426007,
1433191616183,260599,view,86238,
1433194481906,1188336,view,216095,
1433193463474,1317317,view,14159,
1433194675112,1354316,view,215767,
1433194983676,1322055,view,308985,
1433192078186,1375369,view,139936,
1433193611299,286616,view,371590,
1433191544655,971845,view,251813,
1433193272942,859718,view,379264,
1433191523072,229335,view,222613,
1433194599663,1313440,view,347937,
1433192387024,766230,view,286065,
1433194599642,413869,view,232858,
1433192693894,1057088,view,334432,
1433191689644,980257,view,337431,
1433194914324,1322055,view,308985,
1433193428621,1141573,view,395596,
1433194833684,800587,view,29100,
1433193246662,214589,view,267010,
1433192974675,1141573,view,203877,
1433192282889,945697,view,96924,
1433193043397,344176,view,95655,
1433193100279,1017556,view,84160,
1433193703544,820159,view,261793,
1433191774514,612769,view,343537,
1433193994575,968797,view,407343,
1433194303032,292025,view,63184,
1433194893874,679474,view,368057,
1433192495279,1047271,view,105334,
1433191866286,286616,view,243470,
1433193294827,355079,view,444951,
1433192439485,1323322,view,227470,
1433194792189,24769,view,55364,
1433193748486,463621,view,257040,
1433191734910,991664,view,62312,
1433195003616,1093035,view,444979,
1433193341196,219304,view,374673,
1433193414949,663314,view,47139,
1433194716107,298291,view,24608,
1433193884216,983709,view,198209,
1433193724968,1136722,view,298056,
1433192113953,623748,view,305760,
1433193535063,115171,view,356283,
1433193881704,320454,view,441953,
1433193634926,820159,view,268881,
1433191760912,178376,view,189563,
1433192506380,1004326,view,432925,
1433193493124,1317249,view,204070,
1433191729853,118343,view,462945,
1433192959427,317642,view,58869,
1433194288004,1207572,view,19003,
1433194824136,949171,view,150217,
1433192311349,1195252,view,358130,
1433192775770,227368,view,108638,
1433194969716,196602,addtocart,63312,
1433193654708,1159635,view,168527,
1433193500981,121688,transaction,15335,11117.0
1433191477403,421206,view,38006,
1433192565867,536514,view,80299,
1433193175924,115713,view,433059,
1433191788633,1340085,view,159835,
1433194550349,553696,view,265505,
1433194139564,777066,view,125810,
1433193164579,249113,view,181673,
1433194350258,610183,view,436461,
1433191958331,1332255,view,94488,
1433192218717,789827,view,102229,
1433192231907,1358943,view,233770,
1433194351839,1065157,view,197980,
1433192666341,160807,view,391289,
1433192519806,886864,view,76196,
1433194094518,1149807,view,141703,
1433193132535,1134473,view,396045,
1433193554368,385457,view,456627,
1433191948760,832459,view,281657,
1433194531464,192487,view,170751,
1433193162715,1055125,view,263153,
1433194680008,1015518,view,24291,
1433192425487,940454,view,383336,
1433191787095,333162,view,434278,
1433194679579,138565,view,140861,
1433191636446,351150,view,246110,
1433191584678,850173,view,243470,
1433191851912,1256332,view,165035,
1433194427881,553917,view,93001,
1433193992715,820159,view,281211,
1433191677505,889022,view,395153,
1433191765098,15613,view,89737,
1433194655137,1291089,view,88318,
1433194846767,38015,view,137633,
1433192715740,778817,view,184370,
1433192981610,1113676,view,350629,
1433191711059,409263,view,360173,
1433193541168,273406,view,36683,
1433194100127,1163398,view,462203,
1433194470209,1343346,view,20192,
1433194453729,610183,view,396238,
1433191598362,721927,view,59467,
1433193833507,486646,view,306260,
1433192417799,738984,view,61847,
1433193616260,1404060,view,320970,
1433193176627,216062,view,302948,
1433192018538,588923,view,196038,
1433191526588,9289,view,315393,
1433192635883,1318763,view,379744,
1433191826171,850173,view,85940,
1433193073246,323192,view,185935,
1433193087443,1099154,view,50467,
1433194259639,85734,view,264801,
1433194377032,371220,view,161478,
1433192182037,179335,view,262107,
1433193529619,1123910,view,189429,
1433192182241,605852,view,80435,
1433194631205,949171,view,76617,
1433191751657,1349893,view,356320,
1433192720617,294125,view,428825,
1433193927030,416876,view,350766,
1433193526932,127337,view,375492,
1433194053638,1211545,view,107853,
1433194696771,1314862,view,344224,
1433192901157,950703,view,198620,
1433194073557,757620,view,397995,
1433193760835,463561,view,451967,
1433193873160,812748,view,431148,
1433193948993,690053,view,421615,
1433194890697,803159,view,197245,
1433194578342,939182,view,140861,
1433192733238,1246148,view,58194,
1433192413684,186920,view,248175,
1433194822821,1222188,view,403716,
1433192267220,1081792,view,135251,
1433193410479,119444,view,78163,
1433192624693,160807,view,280375,
1433194701554,539910,view,385201,
1433194403266,606967,view,192832,
1433192041936,672744,view,318333,
1433193161124,473837,view,416987,
1433194802752,660365,view,449646,
1433192807066,249113,view,295785,
1433192042501,1273449,view,277613,
1433194701874,1282331,view,65188,
1433192107830,350566,view,458265,
1433194261247,536068,view,91607,
1433194768852,110929,view,377474,
1433193351267,672710,view,77173,
1433193049912,447658,view,302303,
1433194026467,923376,view,385769,
1433192849374,292205,view,102229,
1433192456634,748891,view,176162,
1433193125438,157954,view,143486,
1433191921208,158096,view,154413,
1433194545727,648957,view,121453,
1433192695054,1377315,view,428952,
1433192266935,109429,view,254477,
1433192616589,178721,view,49347,
1433194745128,883403,view,199810,
1433193789881,1141573,view,233263,
1433194755794,1370178,view,333560,
1433194005239,350566,view,462394,
1433194935948,266069,view,319910,
1433192260061,1209307,view,123882,
1433194502406,1185234,view,62746,
1433194280594,7684,view,253615,
1433191739062,1242160,view,267535,
1433192010489,1312385,view,337358,
1433194033035,1139541,view,364043,
1433194280384,1395006,view,56352,
1433192015852,422998,view,99496,
1433193809956,924087,view,412404,
1433192975894,611473,view,455006,
1433193915008,552148,transaction,81345,5444.0
1433193518184,768855,view,316444,
1433193032159,639964,view,360258,
1433194222728,418972,view,174172,
1433192388905,98881,view,24477,
1433194182025,420571,view,241752,
1433193232883,179239,view,183238,
1433194864488,7173,view,14974,
1433192892426,32389,view,98728,
1433192747163,1057088,view,147551,
1433191713959,808813,view,67486,
1433193800251,1054451,view,276105,
1433192916241,251908,view,212837,
1433191780678,588923,view,218505,
1433194580641,209390,view,67487,
1433194010662,95902,view,298598,
1433192812552,544163,view,174955,
1433192353698,158096,view,295785,
1433193785460,1102703,view,103405,
1433194905177,679474,view,83791,
1433194225641,216332,view,65426,
1433192361649,880180,view,58729,
1433194159263,1046017,view,444848,
1433192671854,1246148,view,58194,
1433192157800,159104,view,463379,
1433193118330,173287,view,35742,
1433194291005,393390,view,465522,
1433193870077,1104441,view,55799,
1433192024594,753508,view,20785,
1433193089034,1016655,view,122873,
1433191990038,481837,view,247307,
1433216686718,390730,view,181576,
1433218743111,1353254,view,420056,
1433218746802,98643,view,420960,
1433219699169,987208,view,356837,
1433218056322,519449,view,277651,
1433218445073,164576,view,69408,
1433220802151,479753,view,139068,
1433220254274,56229,addtocart,115244,
1433216689370,778866,view,281958,
1433218757551,168685,addtocart,111530,
1433218757893,734678,view,162345,
1433218449342,662168,view,37029,
1433218761995,1238871,view,51561,
1433219270717,1039327,view,105878,
1433218762620,332961,view,19572,
1433217830558,868786,view,325353,
1433219413350,255540,view,347657,
1433216559709,777089,view,221329,
1433218767984,1058384,view,257040,
1433217522763,520695,view,273743,
1433218772485,232712,view,336393,
1433216986389,568374,view,79368,
1433217699400,674436,view,207581,
1433220208728,670253,view,390232,
1433220855897,824915,view,292760,
1433217863765,1203684,view,80953,
1433217425844,46497,view,337262,
1433217181141,1266913,view,380913,
1433218072646,1132688,view,440128,
1433217639876,310248,view,172340,
1433220667123,580269,view,62866,
1433220051727,492414,view,8501,
1433218787846,791370,view,302946,
1433219611486,841219,view,80700,
1433217542961,573280,view,212918,
1433219992412,1040932,view,212956,
1433220242328,821184,view,399728,
1433218799177,1179330,view,319506,
1433216970132,197249,view,59477,
1433219119335,663787,view,219936,
1433218807424,741671,view,443875,
1433220673811,774019,view,76734,
1433216706043,874763,view,229257,
1433220848630,467124,view,396318,
1433217173197,1030058,view,183178,
1433219818498,495280,view,387660,
1433217257455,53588,view,463280,
1433216961517,75384,view,418572,
1433218815612,572783,view,73593,
1433217966859,114471,view,44054,
1433220049612,113274,view,380511,
1433218820997,1398678,view,184585,
1433218832625,1238871,view,51561,
1433218833204,719855,view,303055,
1433219620129,468850,view,179601,
1433219231513,152407,view,89675,
1433217443929,37840,view,297513,
1433220184421,626205,view,226127,
1433216943226,223779,view,463941,
1433218848002,1038306,view,49810,
1433217842534,997107,view,253353,
1433218855073,55270,view,259487,
1433217162685,932927,view,273743,
1433218856734,375514,view,374363,
1433216936981,772309,view,34435,
1433220046418,1218450,view,424976,
1433218862643,343908,view,105720,
1433219979247,49552,view,137174,
1433220690974,712443,view,431322,
1433218876080,834802,view,115525,
1433220245031,333827,view,335975,
1433219005687,1324075,view,367975,
1433217445797,901046,view,197968,
1433219785580,369776,view,198798,
1433218238410,1087049,view,30024,
1433218888272,1238871,view,51561,
1433220523541,123428,view,1981,
1433218344824,1203692,view,220530,
1433218895433,208110,view,199484,
1433218501026,535937,view,206925,
1433216632259,874763,view,268081,
1433217951982,680960,view,305786,
1433217727423,1360339,view,381653,
1433219778202,976562,view,44220,
1433219633772,915735,view,162932,
1433216908582,1042749,view,172967,
1433220542028,123428,view,151839,
1433220042944,50634,view,400577,
1433218909515,697865,view,343878,
1433216733465,248698,view,94952,
1433218913971,524378,view,417276,
1433220358346,285091,view,450414,
1433217148447,726049,view,463238,
